"accession_number","status","artwork_title","artist","location","lat","lng"
"1915.2","Collection Status : On View","[Panama-California Sculpture Court]","","CD 3 : Balboa Park : Panama California Sculpture Courtyard","32.731778999999996","-117.14858999999998"
"1926.1","Collection Status : On View","Velazquez, Murillo, and Zubaran","Furio Piccirilli |","CD 3 : Balboa Park : Panama California Sculpture Courtyard","32.731778999999996","-117.14858999999998"
"1930.4","Collection Status : On View","El Cid Campeador","Anna Hyatt Huntington |","CD 3 : Balboa Park : Plaza de Panama","32.730947","-117.15043700000001"
"1935.1","Collection Status : On View","La Tehuana / Aztec Woman of Tehuantepec","Donal Hord |","CD 3 : Balboa Park : House of Hospitality Courtyard","32.7311007","-117.14957720000001"
"1935.2","Collection Status : On View","The Four Cornerstones of American Democracy","Frederick William Schweigardt |","CD 3 : Balboa Park : Balboa Park Club","32.7288065","-117.1534084"
"1935.3","Collection Status : On View","Progress of Man","Belle Goldschlager Baranceanu |","CD 3 : Balboa Park : Balboa Park Club","32.7288065","-117.1534084"
"1935.4","Collection Status : On View","House of Hospitality Doorway","Rose Hanks |","CD 3 : Balboa Park : House of Hospitality","32.7311007","-117.14957720000001"
"1935.5","Collection Status : On View","March of Transportation","Juan B. Larrinaga |","CD 3 : Balboa Park : San Diego Air and Space Museum","32.7262316","-117.1543676"
"1935.6","Collection Status : On View","[Ascent of Explorer II]","Juan B. Larrinaga |","CD 3 : Balboa Park : San Diego Air and Space Museum : near entrance of Rearwin Gallery","32.7262316","-117.1543676"
"1936.1","Collection Status : On View","Colonel David Charles Collier","Frederick William Schweigardt |","CD 3 : Balboa Park : San Diego Museum of Man Entry Courtyard","32.7317567","-117.15231829999999"
"1957.1","Collection Status : On View","Ágoston Haraszthy Plaque","Alexander Finta |","CD 3 : Balboa Park : House of Hungary : Entrance","32.728844","-117.15193700000002"
"1963.2","Collection Status : On View","The New Deal / Senior Citizens in Balboa Park","Ivan Messenger |","CD 3 : Balboa Park : Developed Regional Parks Administration Building : 2125 Park Boulevard  : Lobby","32.7251217","-117.14803859999999"
"1986.10","Collection Status : On View","John D. Spreckels","James Tank Porter |","CD 3 : Balboa Park : Spreckels Organ Pavilion","32.7293761","-117.15040900000001"
"1988.2.1","Collection Status : On View","Night Vision (#1 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.11","Collection Status : On View","Night Vision (#11 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.4","Collection Status : On View","Night Vision (#4 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.12","Collection Status : On View","Night Vision (#12 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.8","Collection Status : On View","Night Vision (#8 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.10","Collection Status : On View","Night Vision (#10 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.6","Collection Status : On View","Night Vision (#6 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.9","Collection Status : On View","Night Vision (#9 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.3","Collection Status : On View","Night Vision (#3 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.7","Collection Status : On View","Night Vision (#7 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.2","Collection Status : On View","Night Vision (#2 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1988.2.5","Collection Status : On View","Night Vision (#5 of 12 street signs)","Roberto Salas |","CD 3 : Balboa Park : Park Boulevard : between Morley Field Drive and Inspiration Point Way","32.7272487","-117.1481625"
"1998.2","Collection Status : On View","Kate Sessions","Ruth Hayward |","CD 3 : Balboa Park : intersection of El Prado and North Balboa Drive","32.731142600000005","-117.1583828"
"1999.6.1","Collection Status : On View","The Circle and the Self: A Picture Story, Part 1 (26 tiles)","Joyce Cutler Shaw |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : South Plaza","32.7267772","-117.1476887"
"1999.6.2","Collection Status : On View","The Circle and the Self, Part 2 (71 tiles)","Joyce Cutler Shaw |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : Gymnasium","32.7267772","-117.1476887"
"1999.6.3","Collection Status : On View","[Floor Tapestry]","Joyce Cutler Shaw |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : Lobby","32.7267772","-117.1476887"
"1999.6.4","Collection Status : On View","[Floor Tapestry]","Joyce Cutler Shaw |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : Lobby","32.7267772","-117.1476887"
"1999.6.5","Collection Status : On View","Birds of San Diego County","Raul Guerrero |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : Back Courtyard","32.7267772","-117.1476887"
"1999.6.6","Collection Status : On View","[Tile Frieze]","Raul Guerrero |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : Back Courtyard","32.7267772","-117.1476887"
"1999.6.7","Collection Status : On View","[Etched Glass Doors]","Joyce Cutler Shaw |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : Lobby","32.7267772","-117.1476887"
"1999.6.8","Collection Status : On View","[Map of the Pacific Rim]","Raul Guerrero |","CD 3 : Balboa Park : Balboa Park Activity Center : 2145 Park Boulevard : South Plaza","32.7267772","-117.1476887"
"2000.21","Collection Status : On View","The Gold Gulch","Ivan Messenger |","CD 3 : Balboa Park : Developed Regional Parks Administration Building : 2125 Park Boulevard","32.7251217","-117.14803859999999"
"2001.1.2-3","Collection Status : On View","Founders Plaza","Ruth Hayward |","CD 3 : Balboa Park : Founders Plaza : Intersection of El Prado and North Balboa Dr","32.7317145","-117.1584298"
"2001.1","Collection Status : On View","Founders Plaza","Ruth Hayward |","CD 3 : Balboa Park : Founders Plaza : Intersection of El Prado and North Balboa Dr","32.7317145","-117.1584298"
"2013.132","Collection Status : On View","The Pacific and Far East","possibly R.E. Henderson |","CD 3 : Balboa Park : Balboa Park Club : Santa Fe Room","32.7288065","-117.1534084"
"1990.12.32","Collection Status : On View","[Aztec Sacrifice]","Jose Moya del Pino |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.33","Collection Status : On View","[Three Women]","Jose Moya del Pino |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.34","Collection Status : On View","Untitled","Eugene Taylor |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St. : Community Room","32.700081","-117.133298"
"1990.12.35","Collection Status : On View","Untitled","Eugene Taylor |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St. : Community Room","32.700081","-117.133298"
"1990.12.36","Collection Status : On View","Untitled","Eugene Taylor |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St. : Community Room","32.700081","-117.133298"
"1990.12.41","Collection Status : On View","[Bar Ensemble]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St. : Community Room","32.700081","-117.133298"
"1990.12.5.a","Collection Status : On View","[Stained Glass Window] (#1 of 2 windows)","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.5.b","Collection Status : On View","[Stained Glass Window] (#2 of 2 windows)","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.2.a","Collection Status : On View","[Big Chandelier] (#1 of 2 chandeliers)","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.8.a-ai","Collection Status : On View","[Thirty-five Ceiling Beams]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.3.a-m","Collection Status : On View","[Thirteen Beam Caps]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.3.e","Collection Status : On View","[Beam Cap]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.3.f","Collection Status : On View","[Beam Cap]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.7","Collection Status : On View","[Wooden Exterior Door]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.4.a-b","Collection Status : On View","[Two Painted Interior Doors]","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1990.12.2.b","Collection Status : On View","[Big Chandelier] (#2 of 2 chandeliers)","Unknown |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"2009.1","Collection Status : On View","Las Americas de Lejos / The Americas from Afar","Roberto Salas |","CD 8 : Logan Heights : Logan Heights Branch Library : 567 South 28th St.","32.700081","-117.133298"
"1998.10.1a-b","Collection Status : On View","Light and Life","Wick Alexander |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Children's Room","32.747461","-117.100297"
"1998.10.2","Collection Status : On View","Mountain Climbing","Robin Brailsford |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Outside Stairwell","32.747461","-117.100297"
"1998.10.3a-c","Collection Status : On View","Art and Poetry","Jihmye Collins |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Front Entrance","32.747461","-117.100297"
"1998.10.4","Collection Status : On View","Fireside Tales","Jesus Dominguez |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : First Floor and Mezzanine","32.747461","-117.100297"
"1998.10.5a-h","Collection Status : On View","Currents/Stepping Stones","Mary Lynn Dominguez |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Mezzanine and Outer Courtyard","32.747461","-117.100297"
"2012.5","Collection Status : On View","Grandmother's Kitchen/Grandfather's Garden","Lynn Susholtz |","CD 9 : City Heights : La Maestra Community Health Centers : 4060 Fairmount Avenue : Floor 3","32.750591","-117.10123200000001"
"2014.14","Collection Status : On View","Untitled","Don Dudley |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Mezzanine","32.747461","-117.100297"
"2014.2","Collection Status : On View","Garden","Wendell Kling |","CD 9 : City Heights : City Heights Square Mini Park : 43rd Street between University Avenue and Polk Street","32.750553000000004","-117.10178400000001"
"2014.30","Collection Status : On View","Nature Form","Guy Williams |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Mezzanine","32.747461","-117.100297"
"2014.32","Collection Status : On View","Untitled","Guy Williams |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : Mezzanine","32.747461","-117.100297"
"2016.17","Collection Status : On View","Chippie Hill","Guy Williams |","CD 9 : City Heights : City Heights Branch Library : 3795 Fairmount Avenue : First Floor, Study Area","32.747461","-117.100297"
"2019.2.1","Collection Status : On View","Pasaje","Jamex de la Torre | Einar de la Torre |","CD 8 : San Ysidro : San Ysidro Branch Library : 4235 Beyer Blvd. : Library entrance","32.557851","-117.043038"
"2019.2.2.1-2","Collection Status : On View","El Movimiento / Picadillo Folklorico","Jamex de la Torre | Einar de la Torre |","CD 8 : San Ysidro : San Ysidro Branch Library : 4235 Beyer Blvd.","32.557851","-117.043038"
"2019.2.2.1","Collection Status : On View","El Movimiento","Jamex de la Torre | Einar de la Torre |","CD 8 : San Ysidro : San Ysidro Branch Library : 4235 Beyer Blvd. : Exterior, west wall","32.557851","-117.043038"
"2019.2.2.2","Collection Status : On View","Picadillo Folklorico","Jamex de la Torre | Einar de la Torre |","CD 8 : San Ysidro : San Ysidro Branch Library : 4235 Beyer Blvd. : Exterior, north wall","32.557851","-117.043038"
"2019.1","Collection Status : On View","Beach Castles","Roman de Salvo |","CD 2 : Mission Beach : South Mission Beach Lifeguard Tower : North Jetty Road","32.760653999999995","-117.25315"
"2018.5","Collection Status : On View","Climate Clocks (Abstraction Devices)","Janet Zweig |","CD 3 : Mission Hills : Mission Hills-Hillcrest/Knox Library : 215 W. Washington Street","32.749819","-117.16525"
"1909.1","Collection Status : On View","Horton Plaza Fountain","Irving J. Gill |","CD 3 : Downtown : Horton Plaza Park : 300 Broadway","32.715459","-117.161538"
"1909.2.1","Collection Status : On View","Juan Cabrillo","Felix Achilles Peano |","CD 3 : Downtown : Horton Plaza Park : 300 Broadway","32.715459","-117.161538"
"1909.2.2","Collection Status : On View","Alonzo E. Horton","Felix Achilles Peano |","CD 3 : Downtown : Horton Plaza Park : 300 Broadway","32.715459","-117.161538"
"1909.2.3","Collection Status : On View","Junipero Serra","Felix Achilles Peano |","CD 3 : Downtown : Horton Plaza Park : 300 Broadway","32.715459","-117.161538"
"1913.1","Collection Status : On View","The Hunter","John Charles Dollman |","CD 3 : Downtown : Civic Center Plaza (CCP) : 1200 Third Avenue : 11th Floor : Foyer, City Attorney","32.7181791","-117.16254009999999"
"1920.1","Collection Status : On View","Hannah P. Davison","Mary Belle Williams |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1934.14","Collection Status : On View","Grand Canal, Venice","Virginia Lee |","CD 3 : Downtown : Civic Center Plaza (CCP) : 1200 Third Avenue : 2nd Floor : Suite 200","32.7181791","-117.16254009999999"
"1935.7","Collection Status : On View","Kate Sessions","Mary Belle Williams |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1939.2","Collection Status : On View","La Jolla Coastline","Hilda Alice Avery Inch |","CD 3 : Downtown : Civic Center Plaza (CCP) : 1200 Third Avenue : 11th Floor : Foyer, City Attorney","32.7181791","-117.16254009999999"
"1940.1","Collection Status : On View","[Mormon Battalion]","Christopher Hobbs |","CD 3 : Old Town : Presidio Park : Taylor Street : Fort Stockton Memorial","32.758154","-117.1941233"
"1944.3","Collection Status : On View","Untitled","Lydia Knapp Horton |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1944.4","Collection Status : On View","Cabrillo Entering the Harbor of San Diego","Alfred Mitchell |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1944.5","Collection Status : On View","Untitled","Julie Haskell Oleson |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1944.6","Collection Status : On View","Marine","Elliot Bouton Torrey |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1944.7","Collection Status : On View","Eucalyptus Wood","Alfred Mitchell |","CD 3 : Downtown : City Administration Building (CAB) : 202 C Street : 11th Floor, Office of the Mayor : Foyer","32.7169145","-117.16296899999999"
"1944.8","Collection Status : On View","Road to the River","Alfred Mitchell |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1944.9","Collection Status : On View","Springtime in the Orchard","Alfred Mitchell |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1945.1","Collection Status : On View","Summer Sea","Alfred Mitchell |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1945.2","Collection Status : On View","Spring Fields","Alfred Mitchell |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1946.1","Collection Status : On View","Autumn Sunshine","Alfred Mitchell |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1948.1","Collection Status : On View","Valley Rim (San Diego)","Willard F. Capps |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1948.2","Collection Status : On View","Jung Ho","Leslie William Lee |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1950.1","Collection Status : Public Tours Available / Contact the Commission for Arts and Culture","Untitled (Alvarado Treatment Plant Mural)","Richard Yale |","CD 7 : San Carlos : Alvarado Water Treatment Plant : 5540 Kiowa Drive","32.7810706","-117.0435762"
"1952.1","Collection Status : On View","San Diego Bay","Maurice Braun |","CD 3 : Downtown : City Administration Building (CAB) : 202 C Street : 11th Floor, Office of the Mayor : Foyer","32.7169145","-117.16296899999999"
"1954.1","Collection Status : On View","Untitled","Xavier Martinez |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1954.3","Collection Status : On View","Civic Plaza","John Nolen |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1954.4","Collection Status : On View","Untitled","Frederick Yates |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1954.7.1","Collection Status : On View","Literature East","Donal Hord |","CD 3 : Downtown : 820 E Street : Building Facade at Entrance","32.71479","-117.156972"
"1954.7.2","Collection Status : On View","Literature West","Donal Hord |","CD 3 : Downtown : 820 E Street : Building Facade at Entrance","32.71479","-117.156972"
"1954.8","Collection Status : On View","Westwind","Donal Hord |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1954.9","Collection Status : On View","The Wrestlers / Two Wrestlers","Donal Hord |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1957.2","Collection Status : On View","Yellow Tree","Maurice Braun |","CD 3 : Downtown : City Administration Building (CAB) : 202 C Street : 11th Floor, Office of the Mayor : Foyer","32.7169145","-117.16296899999999"
"1960.1","Collection Status : Public Tours Available / Contact the Commission for Arts and Culture","Black Canyon, Boulder Dam","Otto Schneider |","CD 7 : San Carlos : Alvarado Water Treatment Plant : 5540 Kiowa Drive : Hallway","32.7810706","-117.0435762"
"1962.1","Collection Status : Public Tours Available / Contact the Commission for Arts and Culture","The Mixers, Boulder Dam","Otto Schneider |","CD 7 : San Carlos : Alvarado Water Treatment Plant : 5540 Kiowa Drive : Hallway","32.7810706","-117.0435762"
